Equipment Type_Centrifugal,Equipment Type_Exhaust,Location_Plant B,Location_Plant C,vibration_total,Sound (dB),Vibration_Y,Humidity (%),RPM,Temperature (°C),Current (A),Vibration_Z,Pressure (bar),Vibration_X,Imbalance
0.0,0.0,0.0,0.0,54.98,1.13,0.455,0.433,0.547,3.27,69.68,57.78,4.52,0.8329003541841005,0
0.0,0.0,0.0,1.0,69.15,1.35,0.672,0.438,0.103,6.28,71.04,61.41,2.57,0.8087255405884001,0
0.0,0.0,0.0,0.0,63.29,1.46,0.516,0.19,0.447,7.19,74.93,71.05,5.24,0.708636013761649,1
0.0,1.0,0.0,1.0,54.7,1.36,0.728,0.553,0.588,4.87,77.46,69.89,5.03,1.086985280489115,0
0.0,1.0,0.0,0.0,65.13,1.94,0.423,0.492,0.396,7.37,68.5,76.77,5.19,0.7601374875639275,0
0.0,1.0,1.0,0.0,60.97,1.6,0.28,0.649,0.29,4.07,71.33,74.71,5.5,0.7640032722443013,0
0.0,0.0,1.0,0.0,69.69,1.59,0.784,0.519,0.669,4.63,78.39,66.85,5.39,1.1539402064231925,0
0.0,1.0,0.0,1.0,52.98,1.69,0.477,0.467,0.479,3.75,59.38,70.36,4.89,0.8216197417297127,0
1.0,0.0,1.0,0.0,56.72,1.16,0.544,0.326,0.402,6.1,66.55,66.42,5.05,0.7508768207902013,0
0.0,1.0,0.0,1.0,56.08,1.81,0.747,0.514,0.508,5.1,77.33,78.27,3.6,1.0393598991687143,0
0.0,1.0,0.0,1.0,45.36,1.48,0.294,0.648,1.027,6.07,75.46,73.75,4.42,1.249427468883248,0
0.0,0.0,0.0,1.0,62.96,1.7,0.619,0.271,0.731,6.81,72.61,68.85,5.05,0.9954712451899351,0
1.0,0.0,1.0,0.0,62.61,1.18,0.382,0.517,0.733,5.73,67.76,69.0,4.26,0.974936921036433,0
1.0,0.0,0.0,1.0,60.05,1.03,0.474,0.547,0.587,6.14,65.59,75.22,5.86,0.9319087938205112,0
1.0,0.0,1.0,0.0,57.65,1.75,0.514,0.356,0.533,7.68,67.04,70.9,4.34,0.8215966163513576,0
0.0,1.0,1.0,0.0,45.85,1.61,0.2,0.382,0.021,4.5,77.74,75.79,5.22,0.4317001274032705,0
0.0,0.0,0.0,0.0,55.79,1.23,0.344,0.546,0.364,4.8,66.86,57.03,5.12,0.7409102509751097,0
0.0,1.0,1.0,0.0,56.57,1.24,0.77,0.273,0.404,6.59,70.51,70.31,5.75,0.9113972789075026,0
0.0,0.0,0.0,0.0,51.98,1.84,0.677,0.57,0.125,6.06,66.23,65.42,5.9,0.8937863279330245,0
1.0,0.0,0.0,1.0,58.39,1.14,0.487,0.321,0.269,3.89,74.21,76.78,5.69,0.6423168999800644,0
0.0,1.0,0.0,1.0,64.04,1.99,0.549,0.713,0.104,4.88,67.31,75.73,2.89,0.9058620203982503,0
0.0,0.0,0.0,0.0,78.86,1.23,0.441,0.968,0.492,5.34,69.51,68.16,6.19,1.171993600665123,0
0.0,1.0,0.0,1.0,61.75,1.69,0.771,0.328,0.664,5.1,61.58,75.68,6.53,1.069074833676296,0
0.0,0.0,0.0,0.0,62.58,1.4,0.46,0.607,0.721,3.89,61.93,76.92,4.52,1.0487564064166663,0
1.0,0.0,0.0,0.0,59.26,1.68,0.546,0.355,0.583,7.62,70.04,68.37,5.24,0.8740880962465969,0
0.0,1.0,0.0,1.0,40.81,1.34,0.729,0.708,0.307,6.81,63.37,80.36,4.11,1.0615808965877258,1
1.0,0.0,0.0,0.0,59.73,1.45,0.345,0.247,0.114,5.41,80.53,67.84,3.05,0.4393517952620656,0
0.0,1.0,0.0,0.0,60.6,1.51,0.812,0.596,0.149,6.4,59.69,66.93,4.26,1.018214613919875,0
0.0,1.0,0.0,0.0,84.63,1.2,0.194,0.325,0.246,7.49,66.0,72.33,4.46,0.4514166589748323,1
0.0,0.0,0.0,1.0,58.08,1.72,0.826,0.459,0.322,3.68,70.08,66.23,4.65,0.9983190872661906,1
0.0,0.0,0.0,1.0,63.02,1.35,0.425,0.294,0.468,4.25,68.17,68.43,4.04,0.6971979632787233,0
0.0,0.0,0.0,1.0,59.65,1.43,0.451,0.664,0.297,5.71,64.48,75.05,4.27,0.8558656436614336,0
1.0,0.0,0.0,1.0,48.31,1.2,0.122,0.333,0.568,7.0,65.21,68.1,4.99,0.6696245216537399,0
1.0,0.0,0.0,1.0,71.43,0.73,0.409,0.61,0.454,3.18,65.05,59.52,4.23,0.8634216814511899,0
0.0,1.0,1.0,0.0,67.52,1.44,0.292,0.431,0.502,7.92,68.57,69.84,5.54,0.7232074391210311,0
0.0,0.0,1.0,0.0,67.91,2.22,0.378,0.477,0.728,5.27,79.76,64.52,5.68,0.9488925123532169,0
1.0,0.0,0.0,0.0,50.91,1.74,0.473,0.53,0.264,4.8,70.39,72.33,7.38,0.7578423318870489,0
0.0,1.0,1.0,0.0,74.03,1.49,0.692,0.348,0.584,4.46,75.91,71.48,6.13,0.9700639154200098,0
1.0,0.0,0.0,1.0,45.98,1.42,0.542,0.542,0.497,3.87,72.53,75.36,5.24,0.9135299666677608,0
0.0,1.0,0.0,1.0,65.87,1.51,0.562,0.806,0.433,6.96,75.57,72.54,4.38,1.0737639405381427,0
0.0,0.0,0.0,1.0,81.9,1.66,0.281,0.344,0.677,7.78,56.0,73.45,5.29,0.809707354542368,0
0.0,1.0,0.0,0.0,50.09,1.15,0.324,0.734,0.676,5.07,68.48,64.65,5.33,1.049146319633253,0
0.0,1.0,0.0,0.0,54.34,1.83,0.86,0.8,0.311,7.76,76.54,72.02,4.49,1.2150395055305816,0
0.0,0.0,0.0,0.0,61.0,1.71,0.353,0.337,0.464,7.12,67.14,77.84,5.78,0.6734047816878048,1
0.0,0.0,0.0,0.0,54.97,1.72,0.831,0.209,0.556,5.41,78.81,64.56,3.6,1.0214587607926227,0
0.0,1.0,0.0,0.0,44.49,1.63,0.451,0.56,0.445,6.37,77.42,77.0,4.76,0.8455921002469217,0
1.0,0.0,0.0,0.0,60.69,1.51,0.5,0.391,0.617,5.17,67.65,65.25,5.56,0.8851948937945813,0
0.0,0.0,1.0,0.0,49.38,1.7,0.714,0.874,0.556,5.79,67.48,63.74,4.71,1.2580969755944889,0
0.0,1.0,0.0,1.0,64.74,1.68,0.754,0.507,0.867,3.29,64.93,69.48,4.79,1.25588773383611,0
0.0,0.0,1.0,0.0,50.81,1.39,0.478,0.34,0.194,6.48,66.85,71.58,4.86,0.617834929410761,0
0.0,0.0,0.0,0.0,75.5,1.33,0.422,0.271,0.476,3.26,63.84,72.56,4.16,0.6914484796425544,0
1.0,0.0,0.0,1.0,52.17,1.53,0.489,0.718,0.318,7.09,72.14,63.19,6.17,0.9250778345631248,0
0.0,0.0,0.0,1.0,56.78,1.96,0.568,0.386,0.621,7.12,62.72,70.17,3.98,0.9258839020093178,0
0.0,1.0,0.0,1.0,68.14,1.13,0.678,0.509,0.177,4.19,73.02,64.57,5.32,0.8660796730093601,0
0.0,1.0,1.0,0.0,47.69,1.06,0.501,0.691,0.569,4.62,73.14,60.56,5.41,1.0257889646511118,0
0.0,0.0,0.0,1.0,62.27,1.55,0.624,0.403,0.374,5.41,61.69,63.36,4.05,0.8316615898308638,0
0.0,0.0,0.0,0.0,73.07,1.52,0.828,0.491,0.353,5.98,77.75,64.25,5.07,1.0253165364900734,0
1.0,0.0,0.0,0.0,43.93,1.55,0.576,0.497,0.211,4.44,72.57,70.61,4.09,0.7894973084184644,0
1.0,0.0,1.0,0.0,61.85,1.57,0.562,0.637,0.407,5.96,73.75,73.76,6.39,0.9419458583167082,0
1.0,0.0,1.0,0.0,62.6,1.43,0.196,0.618,0.717,4.49,66.21,60.63,3.86,0.9666586781279108,0
0.0,1.0,0.0,0.0,67.82,1.95,-0.026,0.456,0.495,3.28,73.11,69.76,4.35,0.6735257975757127,0
1.0,0.0,1.0,0.0,47.63,1.02,0.578,0.513,0.626,3.01,75.63,62.12,3.78,0.9945496468251346,0
0.0,1.0,0.0,1.0,46.8,1.25,0.481,0.426,0.833,3.51,69.51,71.15,3.64,1.0520104562218002,0
1.0,0.0,1.0,0.0,65.22,1.47,0.397,0.204,0.553,6.96,80.01,64.89,6.59,0.7106574420914764,0
0.0,1.0,0.0,1.0,62.97,1.01,0.549,0.552,0.388,7.81,70.22,62.74,5.54,0.8698557351653204,0
0.0,0.0,0.0,1.0,62.5,1.45,0.488,0.878,0.593,5.13,75.7,72.0,5.14,1.166480604210803,0
0.0,1.0,0.0,1.0,63.46,2.0,0.726,0.323,0.391,5.56,71.47,65.07,4.34,0.8855992321586554,0
0.0,0.0,0.0,1.0,53.2,1.51,0.517,0.345,0.399,3.73,72.93,66.42,5.91,0.7385898726627653,0
0.0,1.0,0.0,1.0,62.32,1.57,0.351,0.326,0.196,5.76,61.64,56.9,4.18,0.5175838096385937,0
0.0,1.0,0.0,0.0,62.93,1.12,0.698,0.645,0.685,3.72,71.86,72.73,5.79,1.1715178188999091,0
0.0,0.0,0.0,0.0,52.86,1.32,0.457,0.59,0.423,6.06,66.33,72.1,4.13,0.8578333171426719,0
0.0,1.0,0.0,0.0,78.66,1.39,0.605,0.468,0.536,7.67,65.77,68.03,4.36,0.933994111330473,0
0.0,1.0,0.0,1.0,64.74,1.4,0.405,0.316,0.293,3.98,78.72,60.36,5.76,0.5913797426358127,0
1.0,0.0,1.0,0.0,48.09,1.88,0.37,0.518,0.587,6.82,68.93,74.05,5.86,0.8659058840312843,0
0.0,0.0,1.0,0.0,66.57,1.67,0.517,0.187,0.348,3.12,64.98,64.67,5.6,0.6506627390591841,0
0.0,0.0,0.0,1.0,50.25,1.17,0.503,0.529,0.472,4.88,68.2,65.73,3.95,0.8692721092960478,0
1.0,0.0,1.0,0.0,67.87,1.57,0.596,0.674,0.676,3.55,63.5,79.56,4.55,1.1253746042984976,0
1.0,0.0,0.0,1.0,71.59,1.65,0.446,0.25,0.658,4.76,77.17,64.48,5.16,0.8332946657695584,0
0.0,0.0,1.0,0.0,51.79,1.84,0.133,0.193,0.496,3.87,66.52,71.71,4.15,0.5485927451215519,0
0.0,0.0,0.0,1.0,69.63,1.97,0.413,0.816,0.146,4.87,72.65,70.81,6.37,0.9261430774993678,0
0.0,0.0,1.0,0.0,64.13,1.2,0.659,0.378,1.099,5.09,76.78,69.95,2.6,1.3360261973479413,0
1.0,0.0,1.0,0.0,68.22,1.26,0.441,0.727,0.849,4.5,67.5,69.41,4.22,1.2015868674382222,0
1.0,0.0,0.0,0.0,78.97,1.12,0.451,0.469,0.645,6.28,72.66,69.88,4.49,0.9161806590405628,0
0.0,1.0,1.0,0.0,57.55,1.43,0.697,0.468,0.349,7.59,64.85,69.36,2.16,0.909194148683327,1
1.0,0.0,1.0,0.0,52.46,1.64,0.358,0.588,0.477,5.0,82.23,67.74,3.6,0.8375183580077513,0
0.0,1.0,0.0,1.0,51.1,1.8,0.191,0.323,0.391,3.96,74.68,75.56,5.63,0.541932652642374,1
0.0,1.0,1.0,0.0,51.84,1.48,0.468,0.526,0.753,4.35,69.04,61.44,5.03,1.0308777813106653,0
1.0,0.0,1.0,0.0,59.23,1.4,0.403,0.424,0.553,7.27,66.14,73.11,6.57,0.804980745111335,0
1.0,0.0,1.0,0.0,63.41,1.55,0.307,0.236,0.343,5.86,69.43,72.11,6.55,0.517294886887547,0
1.0,0.0,1.0,0.0,62.77,1.25,0.465,0.567,0.406,5.28,68.3,71.49,5.43,0.8381825576806046,0
1.0,0.0,1.0,0.0,68.27,2.13,0.598,0.447,0.724,3.75,79.76,73.58,5.31,1.0399947115250154,0
0.0,0.0,0.0,0.0,60.13,1.02,0.498,0.469,0.82,5.25,63.87,67.54,5.07,1.067878738434285,0
1.0,0.0,1.0,0.0,74.54,1.56,0.561,0.258,0.806,4.39,70.67,58.66,2.34,1.0153427992555029,0
0.0,1.0,0.0,1.0,57.35,2.11,0.863,0.818,0.651,7.72,69.91,67.64,3.61,1.35561572726197,0
0.0,1.0,0.0,1.0,87.2,1.5,0.431,0.675,0.449,7.42,69.41,63.04,5.1,0.9181432350129255,0
0.0,0.0,1.0,0.0,66.26,1.44,0.556,0.693,-0.148,3.42,69.46,64.34,5.62,0.9007158264402819,0
0.0,0.0,1.0,0.0,51.43,1.39,0.398,0.439,0.559,5.58,69.42,61.79,5.29,0.8146201568829489,0
1.0,0.0,1.0,0.0,49.29,1.45,0.331,0.154,0.5,4.13,74.37,65.61,4.11,0.6190936924246604,0
0.0,0.0,0.0,0.0,64.82,1.91,0.383,0.891,0.528,5.05,73.04,65.02,5.94,1.1042436325376752,0
1.0,0.0,0.0,1.0,57.77,0.84,0.404,0.488,0.511,7.38,72.09,56.11,6.48,0.8139293581140811,0
1.0,0.0,0.0,0.0,67.14,1.96,0.572,0.35,0.235,5.64,54.83,71.5,5.94,0.7105694899163627,0
0.0,0.0,0.0,0.0,64.73,1.07,0.97,0.583,0.611,4.67,71.5,79.1,5.99,1.2861220781869813,0
0.0,0.0,1.0,0.0,59.27,1.42,0.357,0.733,0.626,4.04,61.72,71.03,4.44,1.0279173118495477,0
0.0,1.0,1.0,0.0,51.53,1.37,0.417,0.495,0.636,7.0,73.23,66.99,6.08,0.9074194179099321,0
0.0,0.0,0.0,1.0,44.85,1.68,0.487,0.756,0.689,6.12,77.37,67.73,5.15,1.1328839305065634,0
0.0,0.0,1.0,0.0,55.53,1.02,0.579,0.717,0.621,5.34,65.37,65.9,5.51,1.1112924907511972,0
0.0,0.0,0.0,1.0,68.56,1.64,0.553,0.285,0.418,4.09,68.69,68.45,5.37,0.7495051700955772,0
0.0,1.0,0.0,0.0,62.14,2.11,0.757,0.365,0.486,4.67,67.0,67.81,4.88,0.9708089410383487,1
1.0,0.0,0.0,1.0,47.54,1.09,0.015,0.692,0.518,7.8,76.18,63.79,4.14,0.8645305084263943,0
0.0,1.0,0.0,1.0,61.73,1.56,0.023,-0.043,0.522,5.6,70.48,76.41,4.92,0.5242728297365791,0
0.0,0.0,0.0,1.0,63.85,1.3,0.401,0.47,0.7,5.0,78.64,60.56,5.99,0.9336492917578848,0
0.0,0.0,0.0,0.0,51.16,1.63,0.719,0.214,0.629,5.61,72.07,71.59,4.56,0.9789780385687924,0
0.0,0.0,0.0,0.0,61.54,1.51,0.187,0.405,0.915,6.89,71.21,67.49,5.89,1.017948426984393,0
1.0,0.0,1.0,0.0,60.58,1.31,-0.102,0.44,0.941,4.7,70.34,77.5,5.74,1.0437839814827585,0
0.0,1.0,1.0,0.0,48.57,1.65,0.614,0.428,0.516,3.89,74.09,69.7,4.7,0.9090852545278688,1
0.0,1.0,0.0,1.0,63.58,2.04,0.549,0.39,-0.267,5.92,61.31,66.2,6.39,0.7244239090477343,0
1.0,0.0,0.0,1.0,65.61,1.44,0.282,0.281,0.747,6.33,70.43,66.76,4.64,0.8464596859862848,0
0.0,1.0,0.0,0.0,70.83,1.72,0.303,0.958,0.392,6.56,69.65,68.2,6.51,1.0785346540561411,1
1.0,0.0,0.0,0.0,70.54,1.11,0.306,0.873,0.34,7.41,73.63,62.29,5.43,0.9855785103176712,0
1.0,0.0,0.0,0.0,46.22,1.21,0.522,0.268,0.42,4.86,69.06,64.17,4.98,0.7216009977820153,0
0.0,1.0,0.0,1.0,50.62,1.64,0.375,0.816,0.411,3.38,64.81,59.08,4.11,0.9876244225412816,0
0.0,1.0,0.0,1.0,65.15,1.95,0.599,0.42,0.622,7.79,70.04,63.39,4.91,0.9602525709416246,0
1.0,0.0,0.0,0.0,65.14,1.61,-0.071,0.526,0.188,5.18,64.59,68.47,4.8,0.5630816992231235,0
0.0,1.0,0.0,1.0,65.15,1.41,0.329,0.487,0.284,6.12,60.37,69.5,3.74,0.6527373131666367,0
1.0,0.0,0.0,0.0,98.53,1.5,0.275,0.368,0.569,6.33,73.64,58.1,4.78,0.7313070490566873,0
0.0,1.0,1.0,0.0,65.71,1.12,0.449,0.697,0.625,5.73,72.9,67.31,4.2,1.0382846430531465,0
0.0,1.0,0.0,0.0,71.36,1.68,0.392,0.525,0.628,4.03,72.34,70.82,5.59,0.9075643227892997,0
0.0,1.0,0.0,1.0,69.54,1.76,0.66,0.405,0.343,6.78,76.51,67.19,6.31,0.8469203032163062,0
0.0,1.0,0.0,1.0,66.51,1.36,0.128,0.239,0.304,7.02,66.67,64.83,3.77,0.4073340152749338,0
0.0,1.0,0.0,1.0,56.85,1.36,0.509,0.321,0.399,5.76,62.84,65.94,6.71,0.7220270078051098,0
0.0,0.0,0.0,1.0,67.59,1.58,0.612,0.172,0.548,5.44,69.65,65.3,4.87,0.8393044739544763,0
0.0,0.0,0.0,0.0,52.27,1.37,0.871,0.502,0.797,3.57,68.26,64.82,4.02,1.2829084145019862,0
0.0,1.0,0.0,0.0,57.63,1.48,0.404,0.261,0.091,3.42,65.79,68.87,5.76,0.48950791617705225,0
0.0,1.0,1.0,0.0,55.15,2.13,0.565,0.447,0.456,4.7,69.6,79.54,4.55,0.8526253573522194,0
